anio,clave_ent,entidad,tipo_de_delito,subtipo_de_delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,nueva_columna
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma de fuego,3,0,2,1,1,1,2,1,2,2.0,2.0,1.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma blanca,1,1,0,0,0,1,0,1,0,0.0,0.0,1.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con otro elemento,0,0,2,2,3,2,0,1,2,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio doloso,No especificado,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio culposo,En accidente de tránsito,14,17,10,14,13,11,14,11,23,14.0,7.0,15.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,valor
2015,1,Aguascalientes,Homicidio,Homicidio culposo,No especificado,2,2,0,3,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma de fuego,2,3,4,1,2,3,5,2,1,4.0,3.0,2.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma blanca,14,11,14,17,12,10,15,18,6,11.0,13.0,11.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con otro elemento,142,155,169,183,196,203,181,215,165,134.0,113.0,110.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,No especificado,14,25,18,26,0,0,0,0,1,20.0,15.0,20.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones culposas,Con arma blanca,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones culposas,En accidente de tránsito,48,40,83,95,74,76,95,72,88,103.0,82.0,86.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones culposas,Con otro elemento,2,0,0,2,30,38,13,27,3,5.0,14.0,3.0,valor
2015,1,Aguascalientes,Lesiones,Lesiones culposas,No especificado,6,4,3,16,0,0,0,0,15,6.0,0.0,6.0,valor
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Aborto,Aborto,Aborto,0,3,1,0,0,0,0,0,0,0.0,1.0,0.0,valor
2015,1,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,4,9,32,25,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Secuestro,Secuestro,Secuestro extorsivo,0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,valor
2015,1,Aguascalientes,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Rapto,Rapto,Rapto,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,11,12,11,13,0,6,4,0,1,0.0,0.0,3.0,valor
2015,1,Aguascalientes,Abuso sexual,Abuso sexual,Abuso sexual,6,4,0,2,1,1,1,1,0,0.0,1.0,1.0,valor
2015,1,Aguascalientes,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,valor
2015,1,Aguascalientes,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,1,1,0,1,3,0,1,0,0,1.0,0.0,3.0,valor
2015,1,Aguascalientes,Violación simple,Violación simple,Violación simple,5,5,3,11,3,15,8,8,6,9.0,5.0,6.0,valor
2015,1,Aguascalientes,Violación equiparada,Violación equiparada,Violación equiparada,0,5,3,7,3,4,4,4,3,5.0,3.0,0.0,valor
2015,1,Aguascalientes,Incesto,Incesto,Incesto,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,valor
2015,1,Aguascalientes,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,19,17,21,20,30,31,24,21,17,19.0,17.0,16.0,valor
2015,1,Aguascalientes,Robo,Robo a casa habitación,Con violencia,5,3,0,7,6,8,5,3,4,2.0,4.0,7.0,valor
2015,1,Aguascalientes,Robo,Robo a casa habitación,Sin violencia,215,176,202,190,215,228,233,229,202,175.0,226.0,180.0,valor
2015,1,Aguascalientes,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,4,3,5,4,4,2,2,7,5,6.0,9.0,5.0,valor
2015,1,Aguascalientes,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,128,120,138,134,143,105,109,105,141,115.0,165.0,182.0,valor
2015,1,Aguascalientes,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,1,0,1,0,2,0,0,2,0,0.0,4.0,0.0,valor
2015,1,Aguascalientes,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,26,26,25,21,25,20,18,36,36,36.0,40.0,35.0,valor
